flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
544163.44,20.649216,0,0.0013335398,659.3606146258378,250.30034159570334,1126,528551.44,19.913467,2270.9302,1.234741,544163.44,20.649216,0,,,,,659.3606146258378,3.5011486e-05,250.30034159570334,5.2820797e-05,0.009630152,0.038604688
544145.5,20.65696,0,0.0013341333,659.3606522934762,250.300452565675,1127,528525.56,19.913057,2268.919,1.2317784,544145.5,20.65696,0,,,,,659.3606522934762,3.5011406e-05,250.300452565675,5.2809686e-05,0.009557899,0.038610566
544162.7,20.668753,0,0.0013347268,659.360661411598,250.30020860793837,1128,528525.5,19.913023,2275.1511,1.2339761,544162.7,20.668753,0,,,,,659.360661411598,3.5009973e-05,250.30020860793837,5.28145e-05,0.009553003,0.038345743
544201.5,20.660294,0,0.0013353202,659.3607495727972,250.30049591515825,1129,528555.9,19.91358,2270.6177,1.2342247,544201.5,20.660294,0,,,,,659.3607495727972,3.500717e-05,250.30049591515825,5.280641e-05,0.009628774,0.038653973
544183.7,20.657782,0,0.0013359135,659.3605414068109,250.3003602150162,1130,528550.44,19.91354,2271.8623,1.2351452,544183.7,20.657782,0,,,,,659.3605414068109,3.5009078e-05,250.3003602150162,5.2808096e-05,0.009393928,0.038567755
544172.2,20.6677,0,0.0013365068,659.360492048104,250.29994884169628,1131,528558.6,19.913422,2267.7686,1.2337672,544172.2,20.6677,0,,,,,659.360492048104,3.5006833e-05,250.29994884169628,5.280209e-05,0.009448199,0.038210258
544136.06,20.667627,0,0.0013370999,659.3604637597368,250.29973502336495,1132,528489.0,19.91272,2269.0615,1.2364999,544136.06,20.667627,0,,,,,659.3604637597368,3.5013105e-05,250.29973502336495,5.282028e-05,0.009377646,0.03786348
544138.75,20.673405,0,0.0013376931,659.3603103255066,250.2995642846762,1133,528557.9,19.913538,2263.504,1.2378182,544138.75,20.673405,0,,,,,659.3603103255066,3.5007444e-05,250.2995642846762,5.2799965e-05,0.009238786,0.038017843
544168.06,20.66607,0,0.0013382862,659.3605284510795,250.3000403573297,1134,528564.3,19.91358,2270.1492,1.232816,544168.06,20.66607,0,,,,,659.3605284510795,3.500778e-05,250.3000403573297,5.280121e-05,0.009445464,0.0384135
544146.2,20.678108,0,0.0013388792,659.3603797132151,250.2994183028047,1135,528514.9,19.912888,2270.901,1.2338647,544146.2,20.678108,0,,,,,659.3603797132151,3.5010777e-05,250.2994183028047,5.281519e-05,0.009287622,0.03762799
544165.75,20.653143,0,0.0013394721,659.3604249968894,250.29982403073126,1136,528542.6,19.913307,2270.0652,1.2331576,544165.75,20.653143,0,,,,,659.3604249968894,3.501355e-05,250.29982403073126,5.2808005e-05,0.009346906,0.038130686
544134.5,20.663857,0,0.001340065,659.3606564793456,250.29999156963572,1137,528493.7,19.912678,2270.0085,1.2350765,544134.5,20.663857,0,,,,,659.3606564793456,3.5011813e-05,250.29999156963572,5.2811545e-05,0.009511754,0.03814301
544164.6,20.668222,0,0.0013406578,659.3607015341372,250.30053336444942,1138,528539.44,19.913292,2271.8154,1.2349477,544164.6,20.668222,0,,,,,659.3607015341372,3.5009503e-05,250.30053336444942,5.2801355e-05,0.009600145,0.03878324
544182.75,20.662174,0,0.0013412505,659.3606999587766,250.2999108617171,1139,528538.7,19.91306,2270.9753,1.230744,544182.75,20.662174,0,,,,,659.3606999587766,3.5010176e-05,250.2999108617171,5.281126e-05,0.0095302975,0.03811387
544180.7,20.666979,0,0.0013418432,659.360425322103,250.29984594484682,1140,528576.4,19.913746,2269.725,1.2335083,544180.7,20.666979,0,,,,,659.360425322103,3.5007542e-05,250.29984594484682,5.280376e-05,0.009327938,0.038145244
544125.4,20.677338,0,0.0013424358,659.3604663068782,250.3000290013375,1141,528533.1,19.913113,2269.2144,1.2331,544125.4,20.677338,0,,,,,659.3604663068782,3.501034e-05,250.3000290013375,5.2801555e-05,0.009452532,0.038519997
544148.4,20.65467,0,0.0013430284,659.3602855048016,250.29920143831947,1142,528483.4,19.912422,2268.3438,1.2323331,544148.4,20.65467,0,,,,,659.3602855048016,3.5014175e-05,250.29920143831947,5.2819032e-05,0.009125635,0.03741452
544181.25,20.659729,0,0.0013436208,659.3602583165355,250.29989690212523,1143,528563.8,19.913494,2271.88,1.2327776,544181.25,20.659729,0,,,,,659.3602583165355,3.5008015e-05,250.29989690212523,5.28032e-05,0.009156518,0.03823374
544157.75,20.66721,0,0.0013442133,659.3602532949014,250.29942809015353,1144,528535.06,19.912975,2266.3628,1.2322476,544157.75,20.66721,0,,,,,659.3602532949014,3.501021e-05,250.29942809015353,5.2809155e-05,0.009157726,0.037653107
544120.4,20.67004,0,0.0013448056,659.3599566143197,250.29977329680963,1145,528520.6,19.912876,2274.251,1.2339314,544120.4,20.67004,0,,,,,659.3599566143197,3.5009696e-05,250.29977329680963,5.2806445e-05,0.008902694,0.038179714
544169.0,20.681473,0,0.0013453978,659.3600195430909,250.2995448108481,1146,528547.3,19.91344,2273.391,1.2339079,544169.0,20.681473,0,,,,,659.3600195430909,3.501114e-05,250.2995448108481,5.281665e-05,0.008880871,0.0377837
544113.3,20.67573,0,0.00134599,659.360167668349,250.29900246134156,1147,528486.8,19.912312,2270.8916,1.2338,544113.3,20.67573,0,,,,,659.360167668349,3.501256e-05,250.29900246134156,5.281063e-05,0.009029482,0.037387487
544083.9,20.674631,0,0.0013465822,659.3602192823464,250.2994958090953,1148,528496.9,19.91264,2268.5137,1.2352823,544083.9,20.674631,0,,,,,659.3602192823464,3.5011963e-05,250.2994958090953,5.2806343e-05,0.009106845,0.037884727
544047.8,20.676933,0,0.0013471743,659.3603141639703,250.29925354181623,1149,528394.5,19.9113,2273.569,1.2354702,544047.8,20.676933,0,,,,,659.3603141639703,3.5020515e-05,250.29925354181623,5.2833955e-05,0.009230477,0.03742871
544054.8,20.678373,0,0.0013477663,659.3603807175966,250.29914511228094,1150,528437.6,19.911581,2267.5684,1.2330452,544054.8,20.678373,0,,,,,659.3603807175966,3.5015117e-05,250.29914511228094,5.281498e-05,0.0092266,0.037538897
544167.8,20.679916,0,0.0013483582,659.3601115270712,250.298971331355,1151,528554.06,19.91337,2268.57,1.2338065,544167.8,20.679916,0,,,,,659.3601115270712,3.5008798e-05,250.298971331355,5.280541e-05,0.009026147,0.03738925
544148.94,20.666842,0,0.0013489501,659.3602186090201,250.29910390757476,1152,528536.9,19.913176,2268.2156,1.2365848,544148.94,20.666842,0,,,,,659.3602186090201,3.5009965e-05,250.29910390757476,5.2804946e-05,0.009166912,0.03766193
544131.94,20.674023,0,0.0013495418,659.3604200360979,250.29915887186144,1153,528482.25,19.912066,2268.021,1.2308432,544131.94,20.674023,0,,,,,659.3604200360979,3.5012123e-05,250.29915887186144,5.281404e-05,0.009339781,0.037478153
544132.2,20.655807,0,0.0013501337,659.3604466675661,250.29877098711833,1154,528478.56,19.912268,2270.4172,1.2348223,544132.2,20.655807,0,,,,,659.3604466675661,3.5013127e-05,250.29877098711833,5.2821328e-05,0.0092769265,0.037171446
544109.4,20.665619,0,0.0013507253,659.3604699893115,250.2995961603885,1155,528511.0,19.912636,2265.8809,1.2324798,544109.4,20.665619,0,,,,,659.3604699893115,3.5011108e-05,250.2995961603885,5.28049e-05,0.009439254,0.03809643
544184.3,20.651255,0,0.0013513169,659.360385421741,250.29896694141428,1156,528530.5,19.912983,2269.1702,1.2339883,544184.3,20.651255,0,,,,,659.360385421741,3.500862e-05,250.29896694141428,5.2814237e-05,0.009310043,0.037302475
544154.8,20.687628,0,0.0013519084,659.3603687565396,250.29914057921133,1157,528522.06,19.912956,2267.4905,1.2350745,544154.8,20.687628,0,,,,,659.3603687565396,3.5009536e-05,250.29914057921133,5.2813994e-05,0.009229651,0.03751242
544130.44,20.666971,0,0.0013524999,659.3604529755552,250.29933978151945,1158,528490.56,19.912344,2261.8872,1.2329636,544130.44,20.666971,0,,,,,659.3604529755552,3.5012785e-05,250.29933978151945,5.2807907e-05,0.009320718,0.03782431
544145.94,20.682858,0,0.0013530913,659.3601609767379,250.29879668521633,1159,528526.3,19.912855,2271.3745,1.232573,544145.94,20.682858,0,,,,,659.3601609767379,3.5009438e-05,250.29879668521633,5.281066e-05,0.008997059,0.037212525
544108.9,20.682392,0,0.0013536826,659.3598348199064,250.29853665782386,1160,528497.94,19.91255,2270.5608,1.2342625,544108.9,20.682392,0,,,,,659.3598348199064,3.501302e-05,250.29853665782386,5.281307e-05,0.008715194,0.03705041
