time,flux
131.51231488081976,544142.06
131.53274917569797,544175.25
131.5531833705827,544114.3
131.57361746534298,544097.56
131.59405165999488,544053.06
131.61448595464753,544143.44
131.63492004918226,544165.2
131.65535424371046,544154.06
131.6757885381303,544167.0
131.69622273242567,544178.6
131.71665682672756,544115.5
131.7370910210302,544181.1
131.75752531520993,544131.2
131.777959409279,544188.75
131.7983936033488,544141.56
131.8188278972957,544189.94
131.83926199124835,544155.5
131.85969618508534,544188.7
131.88013037891506,544174.0
131.90056457263563,544113.9
131.9209987662398,544152.2
131.94143295983667,544163.44
131.96186715332442,544145.5
131.98230134681216,544162.7
132.00273554017622,544201.5
132.0231696335468,544183.7
132.04360392680246,544172.2
132.06403811993368,544136.06
132.08447221307142,544138.75
132.10490640620992,544168.06
132.1253406992255,544146.2
132.1457747921304,544165.75
132.16620898503606,544134.5
132.1866432778188,544164.6
132.20707747049164,544182.75
132.22751156316372,544180.7
132.24794575583655,544125.4
132.26838004838646,544148.4
132.2888141408257,544181.25
132.30924833325844,544157.75
132.3296826255828,544120.4
132.3501167177892,544169.0
132.37055090999638,544113.3
132.39098510219628,544083.9
132.41141929428704,544047.8
132.4318534862541,544054.8
132.45228767822846,544167.8
132.47272197008715,544148.94
132.4931560618279,544131.94
132.51359025367856,544132.2
132.5340243453029,544109.4
132.55445863692148,544184.3
132.57489282843017,544154.8
132.5953269199381,544130.44
132.61576121133112,544145.94
132.6361954025997,544108.9
132.65662959387555,544151.3
132.67706368515064,544137.2
132.69749797618715,544159.75
132.7179321673466,544189.06
132.73836625827244,544146.9
132.75880054919253,544191.6
132.77923474011914,544154.5
132.79966883092857,544220.94
132.82010302161507,544164.94
132.8405373123096,544150.56
132.8609714028862,544179.2
132.8814055934563,544180.2
132.90183988380159,544147.06
132.92227397426177,544228.5
132.94270816459903,544161.5
132.96314235482714,544165.56
132.98357664505602,544154.44
133.00401073515968,544131.94
133.02444492515497,544163.5
133.06531330502185,544165.6
133.08574749490072,544175.94
133.10618168466317,544140.7
133.12661587430193,544090.56
133.14705006394797,544186.25
133.167484253594,544181.06
133.18791844299994,544135.9
133.20835273253033,544097.06
133.22878682182636,544003.8
133.24922101111588,544038.5
133.26965520029626,544026.75
133.29008938947663,544132.56
133.33095766759652,544074.0
133.35139195654483,544146.8
133.3718261453687,544169.06
133.39226033419982,544097.94
133.41269452291453,544095.0
133.43312871162198,544176.2
133.45356290010386,544152.94
133.4739969887014,544146.0
133.49443127717677,544101.06
133.51486546554224,544159.06
133.53529955379054,544112.8
133.55573384203308,544109.8
133.57616803028213,544115.9
133.5966021182976,544115.94
133.61703630642296,544145.0
133.63747059432353,544077.9
133.65790478221606,544121.44
133.6783388699987,544153.1
133.69877315778285,544141.44
133.71920734544983,544135.7
133.73964143310877,544137.06
133.76007562065934,544152.06
133.78050990808697,544098.6
133.80094399540394,544152.7
133.8213781828381,544145.1
133.8418123700394,544108.75
133.86224655723345,544139.94
133.88268074431835,544104.6
133.90311493140325,544169.44
133.92354911836446,544100.56
133.9644174920686,544098.5
133.98485157879622,544145.56
134.00528586553264,544129.3
134.02572005215188,544142.4
134.04615413864667,544055.8
134.06658842503384,544060.56
134.10745669779863,544072.8
134.12789088406862,544119.5
134.14832517022296,544100.44
134.16875935636926,544080.4
134.20962772832718,544102.0
134.23006191424065,544124.3
134.27093018573214,544167.06
134.29136447141354,544143.8
134.3117985571007,544139.9
134.3322327425558,544167.7
134.35266702800436,544169.8
134.3731011134587,544169.56
134.41396948389593,544112.56
134.43440366911818,544234.75
134.45483785422402,544157.9
134.47527203920617,544171.4
134.49570632419636,544167.44
